video,p_base,p_e18
generic__1cf0944b8af6ac43f6f7e794a0d68118b7de888c__汉堡菇__v105__flag__ced10d12__c0.mp4,0.077591,0.156716
exact-r2__350cfd2dd11a55bba310df263eb011f378987693__爆炸菇（爆炸后）__v352__coffee__114e6de4__c0.mp4,0.474404,0.448919
base-noprop__556de27b0d0679c58d037153bf13f376557bb4da__粽子菇__v0__4121e99a__c0.mp4,0.2073,0.289219
exact-r1__06c67470cf9be8f025f6e761b17dc1ea2544b027__爆炸菇（爆炸前）__v42__crown__33913395__c0.mp4,0.401285,0.380885
exact-r2__62671de5d59372c360feb3d41db56086df4cc5db__爆炸菇（爆炸后）__v619__scooter__9a31e29f__c0.mp4,0.193097,0.241117
exact-r2__6caf7c744bba33812d3ae89727b1c9ffa5aa3f71__汉堡菇__v694__coffee__93ceaa68__c0.mp4,0.112417,0.1896
exact-r1__7daadbf57892d5e3abf52d444993e302eae628ab__炸虾菇__v781__glasses__58a7dcd2__c0.mp4,0.474316,0.448759
exact-r2__28b269cb428b398ae0c461d34d9e6daeeb15dd1c__蘑菇力__v265__flag__6d808d89__c0.mp4,0.283545,0.324855
exact-r2__5101800527787a720423bc1b750352a08d3932ce__吐司菇__v512__coffee__7f6ad833__c0.mp4,0.452917,0.440803
base-noprop__6789eb569ba9201716016a5c210359d9e3d43278__汉堡菇__v0__68a1ae3e__c0.mp4,0.278008,0.321961
exact-r1__396fd748b71ec7529ed4bf067ba92fdebcc3340e__粽子菇__v376__flag__5f1b510c__c0.mp4,0.287393,0.359025
exact-r2__64f24c794aa94f916e4cfb3d08239c8cce08ae8b__爆炸菇（爆炸后）__v638__flag__c23892c5__c0.mp4,0.144244,0.148164
exact-r1__b6400262250308b940cca731c04afc1e0661b6e9__炸虾菇__v1132__bubble__8db02a1b__c0.mp4,0.066753,0.177617
base-noprop__143077ed5c3203470357eefbac685c008578ef31__蘑菇力__v0__39ab2b38__c0.mp4,0.101866,0.14508
exact-r1__b872a91da124369a0db4f6c8e1f348f11ee5ee45__粽子菇__v1150__eyemask__7cba3ab5__c0.mp4,0.122939,0.198807
base-noprop__36cc3b78b61d9039d9d44b967df0005c6e6e6895__爆炸菇（爆炸后）__v0__6d095306__c0.mp4,0.37348,0.364386
exact-r1__730702bed82aaf1a0c1093664b6b45d5254520a9__爆炸菇（爆炸前）__v723__eyemask__f6753a50__c0.mp4,0.413166,0.463793
base-noprop__66f41d2f3f0f61298257e508840f1163992f0311__爆炸菇（爆炸后）__v0__b1ce0afb__c0.mp4,0.458661,0.468496
base-noprop__2c1315bafe71a68bec156d93f1790b9d42e2a44a__毒蘑菇__v0__4f6514c4__c0.mp4,0.256199,0.238911
base-noprop__3ab5e095ea7925663c71572cdf310f6c6d4c208d__炸虾菇__v0__3fbd916e__c0.mp4,0.072895,0.160347
exact-r1__47d052f47f096470284625402d2fc5ab2e2f51ca__爆炸菇（爆炸后）__v456__glasses__4b12d2c4__c0.mp4,0.578249,0.476841
base-props__948cf55caa00a45bfcc117ea6e39a73bdfffbf47__汉堡菇__v596__glasses__24eda22f__c0.mp4,0.114044,0.169677
base-props__084b3e71188f9a2159d683c11a6ad5bd65815355__爆炸菇（爆炸后）__v36__crown__8895be78__c0.mp4,0.076968,0.1645
base-props__354f3e4b6107ffa5548e933c67773e98971848fa__蘑菇力__v186__flag__4fbe881f__c0.mp4,0.45458,0.356228
base-noprop__36cc3b78b61d9039d9d44b967df0005c6e6e6895__粽子菇__v0__de6a486b__c0.mp4,0.253403,0.243376
base-noprop__06b0fe368708d4dd8bc44a345d0c8a6765e4dd6e__吐司菇__v0__bb5309c5__c0.mp4,0.12637,0.10836
generic__b4922b313b5f45658c57e964eec6e061ed1c765b__爆炸菇（爆炸前）__v718__glasses__d9480773__c0.mp4,0.343922,0.348706
exact-r1__95661968e66f7e80c1cfe770235df4b395dab410__毒蘑菇__v930__bubble__db7364e2__c0.mp4,0.186772,0.223726
exact-r1__4637c74691052829ffc6d2b99e439250ea0eb7d0__吐司菇__v443__bubble__85fb58a5__c0.mp4,0.037497,0.13085
exact-r2__392410131274da938ab5d7413fe09371ec7bf3ff__粽子菇__v372__flag__111364cb__c0.mp4,0.103669,0.159621
exact-r1__1e81b08c00de3e615dc3d3a3e67182d0ec82fafa__毒蘑菇__v188__coffee__d0de2ef0__c0.mp4,0.224674,0.292802
generic__a4ef5a0703d7e77492a6724ff679670b2cb37512__粽子菇__v671__glasses__abfa9230__c0.mp4,0.104393,0.17065
base-noprop__e245e3cfc41c9b8a7f3e19965bae1bd8876cb0b0__粽子菇__v0__0e95d33c__c0.mp4,0.189617,0.186015
base-noprop__125de5a624888f2f256cc2f63735a38929203bb9__粽子菇__v0__33e4e6b9__c0.mp4,0.150209,0.269239
exact-r2__913093deac6198ad65ba3e8925974f83e021d41b__爆炸菇（爆炸前）__v902__flag__7a5b4086__c0.mp4,0.209418,0.279368
exact-r1__bf87b999122451ffe16ba26acd9a1f4645ce8587__爆炸菇（爆炸后）__v1195__bubble__45856c4f__c0.mp4,0.110788,0.176095
base-noprop__3a66d9c0fbd884130c640c5c48ba2017b2ba1095__毒蘑菇__v0__c80e63de__c0.mp4,0.087227,0.136598
generic__ba3abbfec8cf023cadbbc300cee7b52e6fbf4c0a__粽子菇__v739__crown__1c99a3d6__c0.mp4,0.033049,0.163452
exact-r1__5ce68a5ba0874b66f9821e844283d9113ab37ebd__吐司菇__v584__scooter__5f03dc73__c0.mp4,0.116202,0.149514
exact-r1__47d052f47f096470284625402d2fc5ab2e2f51ca__粽子菇__v456__scooter__7c53a339__c0.mp4,0.418041,0.442265
exact-r2__396fd748b71ec7529ed4bf067ba92fdebcc3340e__粽子菇__v376__flag__5f1b510c__c0.mp4,0.207405,0.245738
base-noprop__298931f62e1fcd1c182d348d865aefe21b2f1a4b__吐司菇__v0__d1334783__c0.mp4,0.159648,0.169508
exact-r1__6412a059222f17ae5dc01573da2024b28b38fb3b__炸虾菇__v629__scooter__75776486__c0.mp4,0.182182,0.219204
exact-r1__b4bc5d9a39711e181bd7233cb5e38a348642950f__炸虾菇__v1116__bubble__e49f6691__c0.mp4,0.036559,0.085593
exact-r1__46a88b94d8c5451f884baeac062b15b148ad8fe6__爆炸菇（爆炸后）__v448__glasses__d54494ff__c0.mp4,0.229928,0.284923
exact-r1__4b73dcb962cbfd0a121d5292b514c93b57ca1509__毒蘑菇__v481__eyemask__9dd97bcd__c0.mp4,0.171316,0.18512
exact-r1__5db4894bfeddbd04cfb6a00ed191a0e8200cac35__炸虾菇__v587__coffee__d00d573a__c0.mp4,0.380723,0.399154
base-props__c52c60db374d20e0b184bfe3476d54058ae4bf84__炸虾菇__v773__eyemask__4650b901__c0.mp4,0.060768,0.125915
exact-r1__32c709f75cca177d6ecdd8d8c6010b7f68a74ab7__蘑菇力__v337__scooter__8a0fa60e__c0.mp4,0.077798,0.168332
exact-r1__46efe225dec2d1e5429fa9bf2a6c0d66fc5cb87e__吐司菇__v450__bubble__2ba3618b__c0.mp4,0.088948,0.1424
exact-r2__7e246fadacbc4777412514b06881f29674ac1928__炸虾菇__v785__glasses__9710d0be__c0.mp4,0.121689,0.161116
exact-r1__fa8822b451db86406868163ad6abd81635c99e4c__爆炸菇（爆炸前）__v1579__bubble__a2820fb2__c0.mp4,0.1001,0.144333
base-noprop__0d8ae407bd2be6cbaf00e2bc407478bbc70e81c2__蘑菇力__v0__17419925__c0.mp4,0.058914,0.124607
exact-r1__925f4fc967e14c8e90c385f11e3c899b2fa6c14c__爆炸菇（爆炸前）__v910__flag__913dfdf0__c0.mp4,0.114139,0.157285
base-noprop__18b6b24b18ae837e3278ec0c2498b4f0c0c457b3__毒蘑菇__v0__4f31fb4d__c0.mp4,0.14481,0.172684
exact-r1__5309b5b3623be09af91500fec7ff1ea85ea1fd9e__吐司菇__v519__coffee__4483e077__c0.mp4,0.121477,0.164914
base-props__b4922b313b5f45658c57e964eec6e061ed1c765b__粽子菇__v718__flag__a54f5f92__c0.mp4,0.205594,0.253606
exact-r2__65fa930a2832ed150be2f5f8c6f3014ee7d827a8__爆炸菇（爆炸后）__v648__flag__9e38806b__c0.mp4,0.020804,0.149135
base-noprop__cd19e3a058e1dc2909d79dd0b89fd5e5cf73511a__粽子菇__v0__e18935fc__c0.mp4,0.283931,0.314548
generic__30b4282f1742fb0fb6e237b3bacf4fb43522adf0__蘑菇力__v173__crown__17f1e4ea__c0.mp4,0.141412,0.202778
base-noprop__7d7630861f0f92a7a3103fc3527dbadc1c0cdc15__爆炸菇（爆炸后）__v0__6fe47f2d__c0.mp4,0.112366,0.153587
exact-r1__efbf0d91c10bbe32864ae440f80f77dc5a2388c8__爆炸菇（爆炸前）__v1505__scooter__c081259c__c0.mp4,0.434401,0.391144
exact-r1__f38d3823fc9736b8398e78aa10bbd459e43178eb__蘑菇力__v1531__eyemask__5c177e12__c0.mp4,0.110202,0.200829
exact-r1__62671de5d59372c360feb3d41db56086df4cc5db__爆炸菇（爆炸后）__v619__scooter__9a31e29f__c0.mp4,0.095224,0.199872
base-props__58f1eb94dfa1635a5bd8ef3c9f0f7ca945b65730__爆炸菇（爆炸前）__v337__bubble__f964e72a__c0.mp4,0.130589,0.144499
generic__1f66a501aba063a2796ee4f1f4d6082295197784__汉堡菇__v114__flag__f06d72e5__c0.mp4,0.090118,0.143259
base-props__54b808c68379bb80df935fac20da98e5db366a47__蘑菇力__v316__eyemask__a6e4b9f7__c0.mp4,0.142793,0.183198
exact-r1__16597e08fbe04aa1b1563b4418564d5f7378092e__爆炸菇（爆炸前）__v144__glasses__c1085498__c0.mp4,0.106914,0.189731
generic__084b3e71188f9a2159d683c11a6ad5bd65815355__爆炸菇（爆炸后）__v36__crown__8895be78__c0.mp4,0.104638,0.196482
exact-r2__4684d4e3cc283d2f82a830567f416163b041076b__爆炸菇（爆炸后）__v446__glasses__bf74e4b6__c0.mp4,0.242842,0.271085
generic__edb1f0c36ee48806d99094bace7f3423c10bdc39__毒蘑菇__v925__eyemask__b5908fb5__c0.mp4,0.105462,0.162029
exact-r1__b8aae01622b539280aab040bd3a45f4a09b87822__毒蘑菇__v1151__crown__d1cd1e76__c0.mp4,0.269133,0.328259
exact-r1__f098f956c8048e901cfef55e3a9c2c1ae2f2ea2b__毒蘑菇__v1512__glasses__f866fd2d__c0.mp4,0.405615,0.420072
base-props__0b0e83bd494c16e5170e432e0697b925efbac110__爆炸菇（爆炸后）__v46__crown__3d886017__c0.mp4,0.166822,0.189314
exact-r1__760285ef5947a16af0c940bb34e75f4a00966d63__爆炸菇（爆炸前）__v738__eyemask__2ae27729__c0.mp4,0.060722,0.170635
exact-r1__f16563383dc7f5abb88446494148bd692e6b4a57__毒蘑菇__v1520__glasses__e21d6045__c0.mp4,0.093457,0.153864
generic__e011acdfa772be70a370c32cc68bd1d67b47e245__爆炸菇（爆炸后）__v877__scooter__becb1965__c0.mp4,0.06236,0.082494
exact-r2__b84a69fca80b7f3ae9dfc999d5b9896f6e7dc072__粽子菇__v1148__eyemask__e8f2b594__c0.mp4,0.118453,0.155375
exact-r2__bdebc74b25211ea6cffb432e9c5848b26d88626a__爆炸菇（爆炸后）__v1185__bubble__2caa57df__c0.mp4,0.386612,0.408133
base-noprop__7980439f022908b0edafecd558418e07616aeaf7__炸虾菇__v0__7daff488__c0.mp4,0.053299,0.163479
base-noprop__90d2739dfb7858927d0f47919eb4bdb9a91380c7__爆炸菇（爆炸前）__v0__32bc0f09__c0.mp4,0.122401,0.185653
base-noprop__b281dc2a1f8e99821ca80a015d7a15c12c8925f9__汉堡菇__v0__e02d8808__c0.mp4,0.050536,0.073906
exact-r1__91c39501adafbba839f83b6334e1af2e954a86dc__爆炸菇（爆炸前）__v905__flag__04bc6241__c0.mp4,0.509393,0.46827
exact-r2__c39c1f9a7737ec2bce1e203f09f772557f7229c4__爆炸菇（爆炸前）__v1223__coffee__4cdd0ec2__c0.mp4,0.385493,0.427756
exact-r1__48c861a729f66f679642de5c029313df7a318d4d__爆炸菇（爆炸后）__v464__glasses__6d7807e3__c0.mp4,0.560091,0.456549
exact-r1__f44b249ab205afe2f0029c4e88c48023c974dbc4__蘑菇力__v1540__eyemask__bfca9d9c__c0.mp4,0.039528,0.127941
exact-r1__c201cdfec75485fc44ee9bef9bbf95d338e7ceeb__爆炸菇（爆炸前）__v1210__coffee__d6b09413__c0.mp4,0.348204,0.465107
base-noprop__c5e43dd5e62f17a4edf36f4eec759833b39bd954__爆炸菇（爆炸前）__v0__dfff2390__c0.mp4,0.383063,0.361953
exact-r2__29f679c8be6e6b658cdfb3ab8df8254b60f131e5__蘑菇力__v272__flag__86d422b6__c0.mp4,0.074072,0.161393
exact-r2__ed2aed62a6cc33d8917e875c075f9a9da2079de2__汉堡菇__v1487__bubble__d6169561__c0.mp4,0.087421,0.166542
generic__93cc4475cf0b1f25f9c50b862890b75be78a9117__汉堡菇__v590__coffee__8a5d7974__c0.mp4,0.274315,0.298839
base-props__9988ed6b8baec6b7f72e2a2f31784ecde8be7eb5__粽子菇__v623__scooter__fee93b7f__c0.mp4,0.172659,0.240845
base-noprop__1cf0944b8af6ac43f6f7e794a0d68118b7de888c__吐司菇__v0__bc7f735e__c0.mp4,0.046759,0.114411
exact-r1__b9d03992ce73a0fe5e4ee03adacf38bbabd0be7f__粽子菇__v1158__eyemask__bc8b377f__c0.mp4,0.072501,0.169471
generic__13eda229e23f72de63829ca2a162c20a3b56bf44__吐司菇__v72__bubble__b7a22711__c0.mp4,0.081788,0.134901
exact-r1__3473624e34e6ca3ec276f7ca9440e71c53e468d5__蘑菇力__v349__scooter__7b69306e__c0.mp4,0.361826,0.342317
base-noprop__f4d25ec51527a18f0ee61a4803329a4966535857__爆炸菇（爆炸前）__v0__76db88a8__c0.mp4,0.120516,0.140114
exact-r2__f2e592fdf9ea64c3001a6620ae7f5abcb234e05b__毒蘑菇__v1529__glasses__18a1a004__c0.mp4,0.321653,0.285769
generic__e9b94ecc359c2f277ccefaf7095c17b14b261bcc__爆炸菇（爆炸前）__v909__coffee__12dbfcb7__c0.mp4,0.089086,0.186977
base-props__36be73a15cf37206fd7e42ba1a164bb08d4ac477__粽子菇__v192__eyemask__a30556fd__c0.mp4,0.023694,0.103214
exact-r1__6dd3305af84339168c5003d4bf2d991700333485__吐司菇__v699__flag__5a52fed1__c0.mp4,0.312981,0.286507
exact-r1__f38c85c9dbbd6fe91ebb9c9d9e17e6640548549d__蘑菇力__v1530__eyemask__64ba8978__c0.mp4,0.11836,0.155275
generic__b2678863871b99530ba9e74fef126b3d90508f99__粽子菇__v712__flag__594ae7a3__c0.mp4,0.038277,0.124617
base-noprop__54b808c68379bb80df935fac20da98e5db366a47__毒蘑菇__v0__e031863b__c0.mp4,0.080396,0.197663
generic__9913e00ce076c968bc96c617de2d2d16bf2971d3__毒蘑菇__v622__crown__7885a7b0__c0.mp4,0.282638,0.367847
exact-r1__6474718652c3298f3ac628f29426024c3a14fa73__炸虾菇__v630__scooter__a8183c89__c0.mp4,0.110469,0.167038
exact-r2__34495e2b0882ddeaad3237f3947906d32c637b3c__爆炸菇（爆炸后）__v347__coffee__78676887__c0.mp4,0.296976,0.298123
exact-r2__795ea87e86ea2b176586612ac5417582a9a6aade__毒蘑菇__v756__flag__8e4f927d__c0.mp4,0.391936,0.383034
exact-r1__9105e103aa4a36f27aede759ea75c7879796a8fc__粽子菇__v900__crown__401bb7e3__c0.mp4,0.190341,0.263421
exact-r2__5ce68a5ba0874b66f9821e844283d9113ab37ebd__吐司菇__v584__scooter__5f03dc73__c0.mp4,0.110785,0.144507
exact-r1__9700a7a9addc20582629c6dd1fdb667f2d2cb24b__毒蘑菇__v938__bubble__ca71b52b__c0.mp4,0.238222,0.337136
exact-r2__d9b45e907f3f46e26cc2c0c367c828a5ba9ab34c__汉堡菇__v1361__flag__17c31c4e__c0.mp4,0.060356,0.126063
base-noprop__3832d04a1cb8b144cb27edf994f26444ef4fd338__毒蘑菇__v0__622f1af8__c0.mp4,0.08738,0.120437
base-noprop__050d465c02a6aedcb83961a3f85cf51de88d0d3e__毒蘑菇__v0__e268c9f8__c0.mp4,0.030516,0.128394
exact-r1__3929a8b7e6afe5fd1810927be8a57f7894a5ecbb__粽子菇__v373__flag__30ad4720__c0.mp4,0.153676,0.15852
exact-r2__b872a91da124369a0db4f6c8e1f348f11ee5ee45__粽子菇__v1150__eyemask__7cba3ab5__c0.mp4,0.044344,0.145262
base-props__152077a5b2e9ecb98c83d24bd2c2d3c0ce349e29__炸虾菇__v75__crown__25e13e4c__c0.mp4,0.136827,0.121037
exact-r2__91446ea62cb3f54e6d1bd638f46c2302dc00f82d__爆炸菇（爆炸前）__v903__flag__50b4ea47__c0.mp4,0.123999,0.158034
exact-r1__63906d5df56c7aab4ab721f0d0f9233c71af9c5f__爆炸菇（爆炸后）__v626__scooter__3e4bbfb7__c0.mp4,0.14993,0.169222
exact-r1__b4dda76fcb4d5ce0a269d5bda4ab6bd412c2999d__炸虾菇__v1117__bubble__ce8000e2__c0.mp4,0.102206,0.144804
base-noprop__cf4cabe622b3f02cfc5256b5fcd31ea8829ff9ce__粽子菇__v0__e96afd9a__c0.mp4,0.130427,0.161342
base-props__db8515de9bb0464fda393bf87d44ee920714f2f6__毒蘑菇__v851__coffee__ff0eaf80__c0.mp4,0.109062,0.175532
generic__948cf55caa00a45bfcc117ea6e39a73bdfffbf47__汉堡菇__v596__glasses__24eda22f__c0.mp4,0.104425,0.123315
base-props__ba3abbfec8cf023cadbbc300cee7b52e6fbf4c0a__粽子菇__v739__crown__1c99a3d6__c0.mp4,0.032045,0.170681
base-noprop__5cd87e0e73b2c6ed3b794bb426544d934c63d371__汉堡菇__v0__64ad9a5e__c0.mp4,0.402266,0.437905
base-noprop__682f7d8fb59392161e4d92c0884afcd19b380053__炸虾菇__v0__e8b22ffd__c0.mp4,0.116654,0.149196
exact-r1__24e0c0d7674fed7268d1287a7bec816936c45c1e__炸虾菇__v232__eyemask__68535f4b__c0.mp4,0.120132,0.137954
exact-r2__c62ad43dbd93c19b400a64a74e75a09af8e0c782__汉堡菇__v1238__glasses__e995fbb2__c0.mp4,0.174238,0.199805
generic__354f3e4b6107ffa5548e933c67773e98971848fa__蘑菇力__v186__flag__4fbe881f__c0.mp4,0.400445,0.364438
base-noprop__4d17fcfde00cb2ae6b544f6fb2233f9c5e1c98bb__吐司菇__v0__50503f43__c0.mp4,0.494982,0.428363
exact-r1__34b54af8a5899c7c22353eaac7f1689280af08bd__蘑菇力__v350__scooter__5163f449__c0.mp4,0.091963,0.147142
exact-r2__5db4894bfeddbd04cfb6a00ed191a0e8200cac35__炸虾菇__v587__coffee__d00d573a__c0.mp4,0.395523,0.41453
generic__45467bec2e9b047dee0217f2ce7f25cf3110e190__爆炸菇（爆炸前）__v255__scooter__aa891a52__c0.mp4,0.105776,0.150165
exact-r1__d9c72591547a6b046fa0ac574d4e8ba2273f59df__汉堡菇__v1362__flag__a96a2d87__c0.mp4,0.178726,0.193716
base-props__1f66a501aba063a2796ee4f1f4d6082295197784__汉堡菇__v114__flag__f06d72e5__c0.mp4,0.063899,0.128527
base-noprop__2770a5b18a2168d768e14e05d09d180635a509fa__吐司菇__v0__8eef82a6__c0.mp4,0.368018,0.330843
exact-r1__4738bebba8757a16e0b094a37be38bbf14855865__爆炸菇（爆炸后）__v453__glasses__9e868055__c0.mp4,0.456387,0.483473
generic__7327bccf5c0ab9eaa9686f4bb89d430405eb16a3__炸虾菇__v446__bubble__82feee5f__c0.mp4,0.009638,0.047646
exact-r1__efa3c0b3a59f3044968aa8514b14e13615002297__爆炸菇（爆炸前）__v1504__scooter__bc08d840__c0.mp4,0.264242,0.306002
exact-r2__b7bea756eea719ee9128d28ce8616fadcb177446__蘑菇力__v1144__crown__7883a3fb__c0.mp4,0.256508,0.32222
exact-r2__e7559760a0cf2b04b9b127f73bc5ed4e714ab9d4__吐司菇__v1450__eyemask__3722b5d8__c0.mp4,0.23242,0.281291
exact-r2__46ad1d7fc06fae0ddf3af206d3ae023bd4b24aae__爆炸菇（爆炸后）__v449__glasses__697a2609__c0.mp4,0.662019,0.5551
generic__58a25304d5897daa19607fb3b5ce8c1f9d1c340f__爆炸菇（爆炸前）__v335__bubble__54c5e930__c0.mp4,0.067196,0.137662
exact-r1__c219d3893a297a9d030244d12b8ed8581b487bce__爆炸菇（爆炸前）__v1212__coffee__40865391__c0.mp4,0.483831,0.474169
exact-r1__b4eae72bed7b19f3df518a28e1218285d7456c4f__炸虾菇__v1118__bubble__a0e2054a__c0.mp4,0.093925,0.168476
exact-r2__78ef7e5e758387759b0edeb5d288c14dd38efee1__毒蘑菇__v754__flag__3596f3a9__c0.mp4,0.178831,0.192089
exact-r1__edbff851b63c30a3fa7e8f354e07a85f34577d30__汉堡菇__v1495__bubble__83e145c8__c0.mp4,0.146349,0.16763
base-noprop__0eaa401fc0b89ae5782586ac9dd79898a8983222__爆炸菇（爆炸前）__v0__5703d2db__c0.mp4,0.046555,0.144467
base-props__7327bccf5c0ab9eaa9686f4bb89d430405eb16a3__炸虾菇__v446__bubble__82feee5f__c0.mp4,0.044644,0.050275
exact-r1__90670fc8fcb427723ab341cff42c86190936e160__粽子菇__v898__crown__be383a78__c0.mp4,0.248596,0.356223
base-noprop__1d44abeca76e96eae0662cfdcbc0c67000cc6687__吐司菇__v0__287d53cf__c0.mp4,0.357789,0.428777
exact-r2__c222c0506a97b7a9e8e24f8b8a715d3bd0ecbd85__爆炸菇（爆炸前）__v1213__coffee__f5015232__c0.mp4,0.383845,0.437714
exact-r2__7da73bccaac018dfba8c400a2b8c3e42302f427e__炸虾菇__v780__glasses__986387a9__c0.mp4,0.189205,0.284183
exact-r1__470a7aa47f649f4fe10fe13dbfba445b46e71eb7__粽子菇__v452__scooter__0475c49d__c0.mp4,0.20178,0.21582
base-noprop__db8692607b532a06def0a9c28e842cfc4dbca1b5__粽子菇__v0__90e65196__c0.mp4,0.494708,0.509098
exact-r1__32c709f75cca177d6ecdd8d8c6010b7f68a74ab7__吐司菇__v337__glasses__b3a1493e__c0.mp4,0.248775,0.296628
base-noprop__36eb6a2b312cae414c0f305a4fd633fb23cd8654__蘑菇力__v0__ef35bbdf__c0.mp4,0.157629,0.162293
exact-r1__23da2230a72cefbf4cfaa971a6d3952246086a5c__汉堡菇__v223__eyemask__7a57961d__c0.mp4,0.11947,0.182457
exact-r1__16eade7b0e21611f64303c64853bbd35f887019e__爆炸菇（爆炸前）__v147__glasses__a5e6108f__c0.mp4,0.244308,0.285571
exact-r2__ed513c133759343ab1260e918b82fed8e1b08af0__汉堡菇__v1489__bubble__1436c561__c0.mp4,0.196688,0.296695
exact-r1__5e251213a13de31edf2e489d219063a9041511e3__炸虾菇__v589__coffee__0ec22905__c0.mp4,0.275608,0.282957
exact-r1__f9d979263ca90b8d782fab2b3ee4583fc05533f7__爆炸菇（爆炸前）__v1573__bubble__9842ef1a__c0.mp4,0.16992,0.176324
exact-r1__73bf249242912f0ade61fe547d0e5e069f3f56b6__爆炸菇（爆炸前）__v729__eyemask__e8f17ff7__c0.mp4,0.334179,0.348398
exact-r1__66d87cc94688950f69cb883873f0307161008b73__爆炸菇（爆炸后）__v654__flag__ca7185cd__c0.mp4,0.44975,0.459684
base-props__4cb113661e22673b72a3e13f60cc0f8202bd9de8__爆炸菇（爆炸前）__v278__crown__ebb8e940__c0.mp4,0.120733,0.112925
exact-r1__5db4894bfeddbd04cfb6a00ed191a0e8200cac35__吐司菇__v587__scooter__ab3fa636__c0.mp4,0.413441,0.440926
base-noprop__04febc3ea3e866abdf75b3fab9b881e8f80a980a__爆炸菇（爆炸前）__v0__c726f2a4__c0.mp4,0.043683,0.180596
exact-r2__49e4303b44fcc27a48dcbb9fedc8fd22431b34ff__粽子菇__v472__glasses__e8cc5d52__c0.mp4,0.465169,0.511028
exact-r2__16597e08fbe04aa1b1563b4418564d5f7378092e__爆炸菇（爆炸前）__v144__glasses__c1085498__c0.mp4,0.080514,0.200744
base-props__b2dc2ae872b575489bad295a459616c0acd91ca9__粽子菇__v714__flag__d6ba270d__c0.mp4,0.088825,0.095853
base-props__a72599b49c4b660f3e5b470ed5a8d66283fa20c5__汉堡菇__v676__eyemask__5aabc100__c0.mp4,0.09366,0.132312
exact-r2__92701c4890bfa8037986aa613bac5b8b817f1d93__汉堡菇__v913__crown__84118245__c0.mp4,0.563775,0.594146
base-noprop__30b4282f1742fb0fb6e237b3bacf4fb43522adf0__蘑菇力__v0__d1ed6740__c0.mp4,0.07977,0.14996
exact-r2__c6d551e2f705a7d57a495d15b9431b5db8120bae__汉堡菇__v1242__glasses__46631ac4__c0.mp4,0.376499,0.313347
exact-r1__d0d4cb576fa483b7c2b81f8e6750e75552ba0fa1__蘑菇力__v1295__bubble__ca9dae90__c0.mp4,0.066659,0.145545
exact-r1__56692a18605af2f263d58cc64535e24b96e865eb__汉堡菇__v550__scooter__50136184__c0.mp4,0.22939,0.315296
exact-r1__da18f49b2e5b88e15d50da1b25bdc798e18021b7__汉堡菇__v1365__flag__626e9903__c0.mp4,0.159068,0.162971
exact-r1__a9816777eac0a4b87543f0fe4ad36edf6b92ca8e__吐司菇__v1049__crown__a8d4e42e__c0.mp4,0.502786,0.486365
exact-r2__c1f249311adad45f3c16099a7e9941c56910a7a1__爆炸菇（爆炸前）__v1208__coffee__eb648246__c0.mp4,0.392192,0.437013
exact-r1__740682cd2158ca2b38b0a802130d0921d6fa1c72__爆炸菇（爆炸前）__v730__eyemask__91da29c3__c0.mp4,0.497107,0.503123
generic__1d5a1c958b3030b64164f55cfb9fdefdf2716651__汉堡菇__v107__flag__30c943b7__c0.mp4,0.249788,0.320227
exact-r1__15f75abcba4174a7e03174d2ba8fa27b95e7f5ff__爆炸菇（爆炸后）__v140__crown__f2bea4e2__c0.mp4,0.140019,0.147118
base-props__3ea8cf079e959693153dd04695b6f05e21f1dca3__爆炸菇（爆炸前）__v230__eyemask__1ad1dfde__c0.mp4,0.059021,0.146763
generic__7674da5ba81befe4b8a9039e9c6b34219152192f__毒蘑菇__v461__glasses__10f004d9__c0.mp4,0.099074,0.181026
base-noprop__069c5cf6bb44592f056bdb81b4696b1569957312__吐司菇__v0__c3023f97__c0.mp4,0.018782,0.13647
base-noprop__50ad428af3b86412de8a648a8194cebfd6685400__粽子菇__v0__b2b67a8e__c0.mp4,0.382455,0.326607
base-noprop__1cf0944b8af6ac43f6f7e794a0d68118b7de888c__蘑菇力__v0__56730c75__c0.mp4,0.053881,0.135021
base-noprop__190a31ba334eafd595032f1742e0cdf9b9183281__粽子菇__v0__de8138ae__c0.mp4,0.233013,0.277363
exact-r2__d9657e5af5e0c9e5c71b7d15425af2bf7fc9de96__炸虾菇__v1360__flag__4356cda3__c0.mp4,0.082997,0.16381
exact-r2__7628869560a690af823a1191809985375c8a2ef9__爆炸菇（爆炸前）__v740__eyemask__36459805__c0.mp4,0.152859,0.165507
exact-r1__7eb0cbcd233663ee2c8dede4eb336850b156427c__炸虾菇__v789__glasses__d984c552__c0.mp4,0.111746,0.170955
base-noprop__db8692607b532a06def0a9c28e842cfc4dbca1b5__汉堡菇__v0__8fdf6456__c0.mp4,0.319366,0.347887
exact-r2__49fef35b1c962aa22fdd2b3411e53134117a62b6__粽子菇__v473__glasses__c4511da4__c0.mp4,0.227045,0.294542
exact-r1__631681b89d48f73fa9b84e8c908a589e6776cc2c__炸虾菇__v623__scooter__b2f7c4c3__c0.mp4,0.2506,0.31142
generic__13c5ef355a4677fd006d158853aae7228ec89353__炸虾菇__v71__crown__f2952d0d__c0.mp4,0.068475,0.099951
exact-r2__162906640246ef44f99db4ad49276c513665eb1e__蘑菇力__v142__glasses__889682a9__c0.mp4,0.04282,0.118724
