filename,grade,reasons,track,source_sha,match,image_sample_id,image_dataset,image_label
exact-r2__4684d4e3cc283d2f82a830567f416163b041076b__爆炸菇（爆炸后）__v446__glasses__bf74e4b6__c0.mp4,bad,僵硬,exact-r2,4684d4e3cc283d2f82a830567f416163b041076b,exact,4684d4e3cc283d2f82a830567f416163b041076b__爆炸菇（爆炸后）__v446__glasses__bf74e4b6__c0,sku-2.0-props-matrix-untriggered-0728,bad
generic__edb1f0c36ee48806d99094bace7f3423c10bdc39__毒蘑菇__v925__eyemask__b5908fb5__c0.mp4,bad,还原度,generic,edb1f0c36ee48806d99094bace7f3423c10bdc39,source_only,edb1f0c36ee48806d99094bace7f3423c10bdc39__TUPV6007__v925__coffee__9433c6c3__c0,sku-1.0-daily-props-matrix-untriggered-0731,good
exact-r1__b8aae01622b539280aab040bd3a45f4a09b87822__毒蘑菇__v1151__crown__d1cd1e76__c0.mp4,bad,大小变化,exact-r1,b8aae01622b539280aab040bd3a45f4a09b87822,exact,b8aae01622b539280aab040bd3a45f4a09b87822__毒蘑菇__v1151__crown__d1cd1e76__c0,sku-2.0-props-matrix-untriggered-0728,bad
exact-r1__f098f956c8048e901cfef55e3a9c2c1ae2f2ea2b__毒蘑菇__v1512__glasses__f866fd2d__c0.mp4,bad,还原度,exact-r1,f098f956c8048e901cfef55e3a9c2c1ae2f2ea2b,exact,f098f956c8048e901cfef55e3a9c2c1ae2f2ea2b__毒蘑菇__v1512__glasses__f866fd2d__c0,sku-2.0-props-matrix-untriggered-0728,bad
base-props__0b0e83bd494c16e5170e432e0697b925efbac110__爆炸菇（爆炸后）__v46__crown__3d886017__c0.mp4,bad,还原度;不属于以上,base-props,0b0e83bd494c16e5170e432e0697b925efbac110,source_only,0b0e83bd494c16e5170e432e0697b925efbac110__TUPV6004__v0__8bf4e8a6__c0,sku-1.0-daily-noprop-0802,bad
exact-r1__760285ef5947a16af0c940bb34e75f4a00966d63__爆炸菇（爆炸前）__v738__eyemask__2ae27729__c0.mp4,normal,,exact-r1,760285ef5947a16af0c940bb34e75f4a00966d63,exact,760285ef5947a16af0c940bb34e75f4a00966d63__爆炸菇（爆炸前）__v738__eyemask__2ae27729__c0,sku-2.0-props-matrix-untriggered-0728,good
exact-r1__f16563383dc7f5abb88446494148bd692e6b4a57__毒蘑菇__v1520__glasses__e21d6045__c0.mp4,bad,还原度,exact-r1,f16563383dc7f5abb88446494148bd692e6b4a57,exact,f16563383dc7f5abb88446494148bd692e6b4a57__毒蘑菇__v1520__glasses__e21d6045__c0,sku-2.0-props-matrix-untriggered-0728,bad
generic__e011acdfa772be70a370c32cc68bd1d67b47e245__爆炸菇（爆炸后）__v877__scooter__becb1965__c0.mp4,bad,还原度;物理规律;不属于以上,generic,e011acdfa772be70a370c32cc68bd1d67b47e245,none,,,
exact-r2__b84a69fca80b7f3ae9dfc999d5b9896f6e7dc072__粽子菇__v1148__eyemask__e8f2b594__c0.mp4,bad,僵硬;不属于以上,exact-r2,b84a69fca80b7f3ae9dfc999d5b9896f6e7dc072,exact,b84a69fca80b7f3ae9dfc999d5b9896f6e7dc072__粽子菇__v1148__eyemask__e8f2b594__c0,sku-2.0-props-matrix-untriggered-0728,normal
exact-r2__bdebc74b25211ea6cffb432e9c5848b26d88626a__爆炸菇（爆炸后）__v1185__bubble__2caa57df__c0.mp4,bad,还原度,exact-r2,bdebc74b25211ea6cffb432e9c5848b26d88626a,exact,bdebc74b25211ea6cffb432e9c5848b26d88626a__爆炸菇（爆炸后）__v1185__bubble__2caa57df__c0,sku-2.0-props-matrix-untriggered-0728,bad
base-noprop__7980439f022908b0edafecd558418e07616aeaf7__炸虾菇__v0__7daff488__c0.mp4,bad,卡顿/少活人感,base-noprop,7980439f022908b0edafecd558418e07616aeaf7,none,,,
base-noprop__90d2739dfb7858927d0f47919eb4bdb9a91380c7__爆炸菇（爆炸前）__v0__32bc0f09__c0.mp4,good,,base-noprop,90d2739dfb7858927d0f47919eb4bdb9a91380c7,source_only,90d2739dfb7858927d0f47919eb4bdb9a91380c7__森林__v0__49774b33__c0,tutu-insert-sft-0709,bad
base-noprop__b281dc2a1f8e99821ca80a015d7a15c12c8925f9__汉堡菇__v0__e02d8808__c0.mp4,bad,还原度,base-noprop,b281dc2a1f8e99821ca80a015d7a15c12c8925f9,source_only,b281dc2a1f8e99821ca80a015d7a15c12c8925f9__花花__v0__a0d10423__c0,tutu-insert-sft-0709,bad
exact-r1__91c39501adafbba839f83b6334e1af2e954a86dc__爆炸菇（爆炸前）__v905__flag__04bc6241__c0.mp4,bad,还原度,exact-r1,91c39501adafbba839f83b6334e1af2e954a86dc,exact,91c39501adafbba839f83b6334e1af2e954a86dc__爆炸菇（爆炸前）__v905__flag__04bc6241__c0,sku-2.0-props-matrix-untriggered-0728,bad
exact-r2__c39c1f9a7737ec2bce1e203f09f772557f7229c4__爆炸菇（爆炸前）__v1223__coffee__4cdd0ec2__c0.mp4,bad,还原度;物理规律,exact-r2,c39c1f9a7737ec2bce1e203f09f772557f7229c4,exact,c39c1f9a7737ec2bce1e203f09f772557f7229c4__爆炸菇（爆炸前）__v1223__coffee__4cdd0ec2__c0,sku-2.0-props-matrix-untriggered-0728,bad
exact-r1__48c861a729f66f679642de5c029313df7a318d4d__爆炸菇（爆炸后）__v464__glasses__6d7807e3__c0.mp4,bad,还原度;僵硬,exact-r1,48c861a729f66f679642de5c029313df7a318d4d,exact,48c861a729f66f679642de5c029313df7a318d4d__爆炸菇（爆炸后）__v464__glasses__6d7807e3__c0,sku-2.0-props-matrix-untriggered-0728,bad
exact-r1__f44b249ab205afe2f0029c4e88c48023c974dbc4__蘑菇力__v1540__eyemask__bfca9d9c__c0.mp4,bad,还原度,exact-r1,f44b249ab205afe2f0029c4e88c48023c974dbc4,exact,f44b249ab205afe2f0029c4e88c48023c974dbc4__蘑菇力__v1540__eyemask__bfca9d9c__c0,sku-2.0-props-matrix-untriggered-0728,bad
exact-r1__c201cdfec75485fc44ee9bef9bbf95d338e7ceeb__爆炸菇（爆炸前）__v1210__coffee__d6b09413__c0.mp4,bad,还原度,exact-r1,c201cdfec75485fc44ee9bef9bbf95d338e7ceeb,exact,c201cdfec75485fc44ee9bef9bbf95d338e7ceeb__爆炸菇（爆炸前）__v1210__coffee__d6b09413__c0,sku-2.0-props-matrix-untriggered-0728,bad
base-noprop__c5e43dd5e62f17a4edf36f4eec759833b39bd954__爆炸菇（爆炸前）__v0__dfff2390__c0.mp4,bad,还原度;僵硬;四肢不动,base-noprop,c5e43dd5e62f17a4edf36f4eec759833b39bd954,source_only,c5e43dd5e62f17a4edf36f4eec759833b39bd954__海滩__v0__1e220163__c0,tutu-insert-sft-0709,bad
exact-r2__29f679c8be6e6b658cdfb3ab8df8254b60f131e5__蘑菇力__v272__flag__86d422b6__c0.mp4,normal,,exact-r2,29f679c8be6e6b658cdfb3ab8df8254b60f131e5,exact,29f679c8be6e6b658cdfb3ab8df8254b60f131e5__蘑菇力__v272__flag__86d422b6__c0,sku-2.0-props-matrix-untriggered-0728,bad
exact-r2__ed2aed62a6cc33d8917e875c075f9a9da2079de2__汉堡菇__v1487__bubble__d6169561__c0.mp4,bad,不属于以上;不合理的物体,exact-r2,ed2aed62a6cc33d8917e875c075f9a9da2079de2,exact,ed2aed62a6cc33d8917e875c075f9a9da2079de2__汉堡菇__v1487__bubble__d6169561__c0,sku-2.0-props-matrix-untriggered-0728,normal
generic__93cc4475cf0b1f25f9c50b862890b75be78a9117__汉堡菇__v590__coffee__8a5d7974__c0.mp4,bad,衣服/身体的时间一致性;还原度,generic,93cc4475cf0b1f25f9c50b862890b75be78a9117,none,,,
base-props__9988ed6b8baec6b7f72e2a2f31784ecde8be7eb5__粽子菇__v623__scooter__fee93b7f__c0.mp4,bad,不属于以上,base-props,9988ed6b8baec6b7f72e2a2f31784ecde8be7eb5,none,,,
base-noprop__1cf0944b8af6ac43f6f7e794a0d68118b7de888c__吐司菇__v0__bc7f735e__c0.mp4,bad,还原度;不合理的物体,base-noprop,1cf0944b8af6ac43f6f7e794a0d68118b7de888c,source_only,1cf0944b8af6ac43f6f7e794a0d68118b7de888c__TUPV6005__v0__15331d06__c0,sku-1.0-daily-noprop-0802,normal
exact-r1__b9d03992ce73a0fe5e4ee03adacf38bbabd0be7f__粽子菇__v1158__eyemask__bc8b377f__c0.mp4,bad,不合理的物体,exact-r1,b9d03992ce73a0fe5e4ee03adacf38bbabd0be7f,exact,b9d03992ce73a0fe5e4ee03adacf38bbabd0be7f__粽子菇__v1158__eyemask__bc8b377f__c0,sku-2.0-props-matrix-untriggered-0728,good
generic__13eda229e23f72de63829ca2a162c20a3b56bf44__吐司菇__v72__bubble__b7a22711__c0.mp4,bad,还原度;不合理的物体,generic,13eda229e23f72de63829ca2a162c20a3b56bf44,source_only,13eda229e23f72de63829ca2a162c20a3b56bf44__TUPV6004__v0__8a94d367__c0,sku-1.0-daily-noprop-0802,bad
exact-r1__3473624e34e6ca3ec276f7ca9440e71c53e468d5__蘑菇力__v349__scooter__7b69306e__c0.mp4,bad,还原度,exact-r1,3473624e34e6ca3ec276f7ca9440e71c53e468d5,exact,3473624e34e6ca3ec276f7ca9440e71c53e468d5__蘑菇力__v349__scooter__7b69306e__c0,sku-2.0-props-matrix-untriggered-0728,good
base-noprop__f4d25ec51527a18f0ee61a4803329a4966535857__爆炸菇（爆炸前）__v0__76db88a8__c0.mp4,good,,base-noprop,f4d25ec51527a18f0ee61a4803329a4966535857,source_only,f4d25ec51527a18f0ee61a4803329a4966535857__森林__v0__b18a249d__c0,tutu-insert-sft-0709,bad
exact-r2__f2e592fdf9ea64c3001a6620ae7f5abcb234e05b__毒蘑菇__v1529__glasses__18a1a004__c0.mp4,bad,僵硬;还原度,exact-r2,f2e592fdf9ea64c3001a6620ae7f5abcb234e05b,exact,f2e592fdf9ea64c3001a6620ae7f5abcb234e05b__毒蘑菇__v1529__glasses__18a1a004__c0,sku-2.0-props-matrix-untriggered-0728,normal
generic__e9b94ecc359c2f277ccefaf7095c17b14b261bcc__爆炸菇（爆炸前）__v909__coffee__12dbfcb7__c0.mp4,bad,大小变化;物理规律,generic,e9b94ecc359c2f277ccefaf7095c17b14b261bcc,source_only,e9b94ecc359c2f277ccefaf7095c17b14b261bcc__TUPV6003__v909__flag__3b654c83__c0,sku-1.0-daily-props-matrix-untriggered-0731,bad
base-props__36be73a15cf37206fd7e42ba1a164bb08d4ac477__粽子菇__v192__eyemask__a30556fd__c0.mp4,bad,还原度,base-props,36be73a15cf37206fd7e42ba1a164bb08d4ac477,source_only,36be73a15cf37206fd7e42ba1a164bb08d4ac477__占卜__v192__crown__cbd85591__c0,sku-1.1-party-props-matrix-untriggered-0731,normal
exact-r1__6dd3305af84339168c5003d4bf2d991700333485__吐司菇__v699__flag__5a52fed1__c0.mp4,bad,还原度,exact-r1,6dd3305af84339168c5003d4bf2d991700333485,exact,6dd3305af84339168c5003d4bf2d991700333485__吐司菇__v699__flag__5a52fed1__c0,sku-2.0-props-matrix-untriggered-0728,bad
exact-r1__f38c85c9dbbd6fe91ebb9c9d9e17e6640548549d__蘑菇力__v1530__eyemask__64ba8978__c0.mp4,normal,,exact-r1,f38c85c9dbbd6fe91ebb9c9d9e17e6640548549d,exact,f38c85c9dbbd6fe91ebb9c9d9e17e6640548549d__蘑菇力__v1530__eyemask__64ba8978__c0,sku-2.0-props-matrix-untriggered-0728,good
generic__b2678863871b99530ba9e74fef126b3d90508f99__粽子菇__v712__flag__594ae7a3__c0.mp4,bad,还原度,generic,b2678863871b99530ba9e74fef126b3d90508f99,source_only,b2678863871b99530ba9e74fef126b3d90508f99__TUPV6002__v712__coffee__37565826__c0,sku-1.0-daily-props-matrix-untriggered-0731,good
base-noprop__54b808c68379bb80df935fac20da98e5db366a47__毒蘑菇__v0__e031863b__c0.mp4,bad,还原度;僵硬;卡顿/少活人感,base-noprop,54b808c68379bb80df935fac20da98e5db366a47,source_only,54b808c68379bb80df935fac20da98e5db366a47__TUPV6007__v316__flag__c1243ff7__c0,sku-1.0-daily-props-matrix-untriggered-0731,normal
generic__9913e00ce076c968bc96c617de2d2d16bf2971d3__毒蘑菇__v622__crown__7885a7b0__c0.mp4,bad,还原度,generic,9913e00ce076c968bc96c617de2d2d16bf2971d3,none,,,
exact-r1__6474718652c3298f3ac628f29426024c3a14fa73__炸虾菇__v630__scooter__a8183c89__c0.mp4,bad,大小变化;不合理的物体,exact-r1,6474718652c3298f3ac628f29426024c3a14fa73,exact,6474718652c3298f3ac628f29426024c3a14fa73__炸虾菇__v630__scooter__a8183c89__c0,sku-2.0-props-matrix-untriggered-0728,bad
exact-r2__34495e2b0882ddeaad3237f3947906d32c637b3c__爆炸菇（爆炸后）__v347__coffee__78676887__c0.mp4,bad,还原度;物理规律,exact-r2,34495e2b0882ddeaad3237f3947906d32c637b3c,exact,34495e2b0882ddeaad3237f3947906d32c637b3c__爆炸菇（爆炸后）__v347__coffee__78676887__c0,sku-2.0-props-matrix-untriggered-0728,bad
exact-r2__795ea87e86ea2b176586612ac5417582a9a6aade__毒蘑菇__v756__flag__8e4f927d__c0.mp4,normal,,exact-r2,795ea87e86ea2b176586612ac5417582a9a6aade,exact,795ea87e86ea2b176586612ac5417582a9a6aade__毒蘑菇__v756__flag__8e4f927d__c0,sku-2.0-props-matrix-untriggered-0728,normal
exact-r1__9105e103aa4a36f27aede759ea75c7879796a8fc__粽子菇__v900__crown__401bb7e3__c0.mp4,bad,还原度,exact-r1,9105e103aa4a36f27aede759ea75c7879796a8fc,exact,9105e103aa4a36f27aede759ea75c7879796a8fc__粽子菇__v900__crown__401bb7e3__c0,sku-2.0-props-matrix-untriggered-0728,normal
exact-r2__5ce68a5ba0874b66f9821e844283d9113ab37ebd__吐司菇__v584__scooter__5f03dc73__c0.mp4,bad,大小变化;还原度;物理规律,exact-r2,5ce68a5ba0874b66f9821e844283d9113ab37ebd,exact,5ce68a5ba0874b66f9821e844283d9113ab37ebd__吐司菇__v584__scooter__5f03dc73__c0,sku-2.0-props-matrix-untriggered-0728,bad
exact-r1__9700a7a9addc20582629c6dd1fdb667f2d2cb24b__毒蘑菇__v938__bubble__ca71b52b__c0.mp4,bad,还原度;不属于以上,exact-r1,9700a7a9addc20582629c6dd1fdb667f2d2cb24b,exact,9700a7a9addc20582629c6dd1fdb667f2d2cb24b__毒蘑菇__v938__bubble__ca71b52b__c0,sku-2.0-props-matrix-untriggered-0728,good
exact-r2__d9b45e907f3f46e26cc2c0c367c828a5ba9ab34c__汉堡菇__v1361__flag__17c31c4e__c0.mp4,bad,还原度;物理规律,exact-r2,d9b45e907f3f46e26cc2c0c367c828a5ba9ab34c,exact,d9b45e907f3f46e26cc2c0c367c828a5ba9ab34c__汉堡菇__v1361__flag__17c31c4e__c0,sku-2.0-props-matrix-untriggered-0728,normal
base-noprop__3832d04a1cb8b144cb27edf994f26444ef4fd338__毒蘑菇__v0__622f1af8__c0.mp4,normal,,base-noprop,3832d04a1cb8b144cb27edf994f26444ef4fd338,exact,3832d04a1cb8b144cb27edf994f26444ef4fd338__毒蘑菇__v0__622f1af8__c0,sku-2.0-noprop-merged-0721,good
base-noprop__050d465c02a6aedcb83961a3f85cf51de88d0d3e__毒蘑菇__v0__e268c9f8__c0.mp4,bad,衣服/身体的时间一致性,base-noprop,050d465c02a6aedcb83961a3f85cf51de88d0d3e,source_only,050d465c02a6aedcb83961a3f85cf51de88d0d3e__TUPV6004__v0__5e47f92c__c0,sku-1.0-daily-noprop-0802,bad
exact-r1__3929a8b7e6afe5fd1810927be8a57f7894a5ecbb__粽子菇__v373__flag__30ad4720__c0.mp4,normal,,exact-r1,3929a8b7e6afe5fd1810927be8a57f7894a5ecbb,exact,3929a8b7e6afe5fd1810927be8a57f7894a5ecbb__粽子菇__v373__flag__30ad4720__c0,sku-2.0-props-matrix-untriggered-0728,good
exact-r2__b872a91da124369a0db4f6c8e1f348f11ee5ee45__粽子菇__v1150__eyemask__7cba3ab5__c0.mp4,bad,不合理的物体;物理规律;还原度,exact-r2,b872a91da124369a0db4f6c8e1f348f11ee5ee45,exact,b872a91da124369a0db4f6c8e1f348f11ee5ee45__粽子菇__v1150__eyemask__7cba3ab5__c0,sku-2.0-props-matrix-untriggered-0728,bad
base-props__152077a5b2e9ecb98c83d24bd2c2d3c0ce349e29__炸虾菇__v75__crown__25e13e4c__c0.mp4,bad,不属于以上,base-props,152077a5b2e9ecb98c83d24bd2c2d3c0ce349e29,source_only,152077a5b2e9ecb98c83d24bd2c2d3c0ce349e29__TUPV6005__v0__7b281fcc__c0,sku-1.0-daily-noprop-0802,bad
exact-r2__91446ea62cb3f54e6d1bd638f46c2302dc00f82d__爆炸菇（爆炸前）__v903__flag__50b4ea47__c0.mp4,bad,还原度,exact-r2,91446ea62cb3f54e6d1bd638f46c2302dc00f82d,exact,91446ea62cb3f54e6d1bd638f46c2302dc00f82d__爆炸菇（爆炸前）__v903__flag__50b4ea47__c0,sku-2.0-props-matrix-untriggered-0728,bad
exact-r1__63906d5df56c7aab4ab721f0d0f9233c71af9c5f__爆炸菇（爆炸后）__v626__scooter__3e4bbfb7__c0.mp4,bad,还原度,exact-r1,63906d5df56c7aab4ab721f0d0f9233c71af9c5f,exact,63906d5df56c7aab4ab721f0d0f9233c71af9c5f__爆炸菇（爆炸后）__v626__scooter__3e4bbfb7__c0,sku-2.0-props-matrix-untriggered-0728,bad
exact-r1__b4dda76fcb4d5ce0a269d5bda4ab6bd412c2999d__炸虾菇__v1117__bubble__ce8000e2__c0.mp4,bad,还原度;不属于以上,exact-r1,b4dda76fcb4d5ce0a269d5bda4ab6bd412c2999d,exact,b4dda76fcb4d5ce0a269d5bda4ab6bd412c2999d__炸虾菇__v1117__bubble__ce8000e2__c0,sku-2.0-props-matrix-untriggered-0728,normal
base-noprop__cf4cabe622b3f02cfc5256b5fcd31ea8829ff9ce__粽子菇__v0__e96afd9a__c0.mp4,normal,,base-noprop,cf4cabe622b3f02cfc5256b5fcd31ea8829ff9ce,exact,cf4cabe622b3f02cfc5256b5fcd31ea8829ff9ce__粽子菇__v0__e96afd9a__c0,sku-2.0-noprop-merged-0721,good
base-props__db8515de9bb0464fda393bf87d44ee920714f2f6__毒蘑菇__v851__coffee__ff0eaf80__c0.mp4,bad,物理规律;还原度,base-props,db8515de9bb0464fda393bf87d44ee920714f2f6,none,,,
generic__948cf55caa00a45bfcc117ea6e39a73bdfffbf47__汉堡菇__v596__glasses__24eda22f__c0.mp4,bad,还原度,generic,948cf55caa00a45bfcc117ea6e39a73bdfffbf47,none,,,
base-props__ba3abbfec8cf023cadbbc300cee7b52e6fbf4c0a__粽子菇__v739__crown__1c99a3d6__c0.mp4,bad,还原度,base-props,ba3abbfec8cf023cadbbc300cee7b52e6fbf4c0a,none,,,
base-noprop__5cd87e0e73b2c6ed3b794bb426544d934c63d371__汉堡菇__v0__64ad9a5e__c0.mp4,bad,还原度;僵硬;四肢不动,base-noprop,5cd87e0e73b2c6ed3b794bb426544d934c63d371,source_only,5cd87e0e73b2c6ed3b794bb426544d934c63d371__占卜__v0__0804d480__c0,tutu-insert-sft-0709,bad
base-noprop__682f7d8fb59392161e4d92c0884afcd19b380053__炸虾菇__v0__e8b22ffd__c0.mp4,bad,衣服/身体的时间一致性,base-noprop,682f7d8fb59392161e4d92c0884afcd19b380053,source_only,682f7d8fb59392161e4d92c0884afcd19b380053__甜品__v0__363c8032__c0,tutu-insert-sft-0709,bad
exact-r1__24e0c0d7674fed7268d1287a7bec816936c45c1e__炸虾菇__v232__eyemask__68535f4b__c0.mp4,normal,,exact-r1,24e0c0d7674fed7268d1287a7bec816936c45c1e,exact,24e0c0d7674fed7268d1287a7bec816936c45c1e__炸虾菇__v232__eyemask__68535f4b__c0,sku-2.0-props-matrix-untriggered-0728,good
exact-r2__c62ad43dbd93c19b400a64a74e75a09af8e0c782__汉堡菇__v1238__glasses__e995fbb2__c0.mp4,bad,还原度;僵硬,exact-r2,c62ad43dbd93c19b400a64a74e75a09af8e0c782,exact,c62ad43dbd93c19b400a64a74e75a09af8e0c782__汉堡菇__v1238__glasses__e995fbb2__c0,sku-2.0-props-matrix-untriggered-0728,bad
generic__354f3e4b6107ffa5548e933c67773e98971848fa__蘑菇力__v186__flag__4fbe881f__c0.mp4,bad,还原度,generic,354f3e4b6107ffa5548e933c67773e98971848fa,source_only,354f3e4b6107ffa5548e933c67773e98971848fa__毒蘑菇__v0__cea99c8a__c0,sku-2.0-noprop-merged-0721,normal
base-noprop__4d17fcfde00cb2ae6b544f6fb2233f9c5e1c98bb__吐司菇__v0__50503f43__c0.mp4,bad,僵硬,base-noprop,4d17fcfde00cb2ae6b544f6fb2233f9c5e1c98bb,source_only,4d17fcfde00cb2ae6b544f6fb2233f9c5e1c98bb__TUPV6006__v282__glasses__6a2bbddd__c0,sku-1.0-daily-props-matrix-untriggered-0731,bad
exact-r1__34b54af8a5899c7c22353eaac7f1689280af08bd__蘑菇力__v350__scooter__5163f449__c0.mp4,bad,物理规律,exact-r1,34b54af8a5899c7c22353eaac7f1689280af08bd,exact,34b54af8a5899c7c22353eaac7f1689280af08bd__蘑菇力__v350__scooter__5163f449__c0,sku-2.0-props-matrix-untriggered-0728,good
exact-r2__5db4894bfeddbd04cfb6a00ed191a0e8200cac35__炸虾菇__v587__coffee__d00d573a__c0.mp4,bad,物理规律,exact-r2,5db4894bfeddbd04cfb6a00ed191a0e8200cac35,exact,5db4894bfeddbd04cfb6a00ed191a0e8200cac35__炸虾菇__v587__coffee__d00d573a__c0,sku-2.0-props-matrix-untriggered-0728,normal
generic__45467bec2e9b047dee0217f2ce7f25cf3110e190__爆炸菇（爆炸前）__v255__scooter__aa891a52__c0.mp4,bad,还原度,generic,45467bec2e9b047dee0217f2ce7f25cf3110e190,source_only,45467bec2e9b047dee0217f2ce7f25cf3110e190__海滩__v255__eyemask__2230e314__c0,sku-1.1-party-props-matrix-untriggered-0731,bad
exact-r1__d9c72591547a6b046fa0ac574d4e8ba2273f59df__汉堡菇__v1362__flag__a96a2d87__c0.mp4,bad,卡顿/少活人感;僵硬,exact-r1,d9c72591547a6b046fa0ac574d4e8ba2273f59df,exact,d9c72591547a6b046fa0ac574d4e8ba2273f59df__汉堡菇__v1362__flag__a96a2d87__c0,sku-2.0-props-matrix-untriggered-0728,normal
base-props__1f66a501aba063a2796ee4f1f4d6082295197784__汉堡菇__v114__flag__f06d72e5__c0.mp4,bad,还原度,base-props,1f66a501aba063a2796ee4f1f4d6082295197784,source_only,1f66a501aba063a2796ee4f1f4d6082295197784__TUPV6005__v0__6ada138b__c0,sku-1.0-daily-noprop-0802,bad
base-noprop__2770a5b18a2168d768e14e05d09d180635a509fa__吐司菇__v0__8eef82a6__c0.mp4,bad,还原度;僵硬;四肢不动,base-noprop,2770a5b18a2168d768e14e05d09d180635a509fa,source_only,2770a5b18a2168d768e14e05d09d180635a509fa__base__v0__46e46983__c0,sku-1.0-daily-noprop-0802,bad
exact-r1__4738bebba8757a16e0b094a37be38bbf14855865__爆炸菇（爆炸后）__v453__glasses__9e868055__c0.mp4,bad,还原度;僵硬;物理规律,exact-r1,4738bebba8757a16e0b094a37be38bbf14855865,exact,4738bebba8757a16e0b094a37be38bbf14855865__爆炸菇（爆炸后）__v453__glasses__9e868055__c0,sku-2.0-props-matrix-untriggered-0728,bad
generic__7327bccf5c0ab9eaa9686f4bb89d430405eb16a3__炸虾菇__v446__bubble__82feee5f__c0.mp4,bad,不属于以上;还原度,generic,7327bccf5c0ab9eaa9686f4bb89d430405eb16a3,none,,,
exact-r1__efa3c0b3a59f3044968aa8514b14e13615002297__爆炸菇（爆炸前）__v1504__scooter__bc08d840__c0.mp4,bad,还原度,exact-r1,efa3c0b3a59f3044968aa8514b14e13615002297,exact,efa3c0b3a59f3044968aa8514b14e13615002297__爆炸菇（爆炸前）__v1504__scooter__bc08d840__c0,sku-2.0-props-matrix-untriggered-0728,bad
exact-r2__b7bea756eea719ee9128d28ce8616fadcb177446__蘑菇力__v1144__crown__7883a3fb__c0.mp4,normal,,exact-r2,b7bea756eea719ee9128d28ce8616fadcb177446,exact,b7bea756eea719ee9128d28ce8616fadcb177446__蘑菇力__v1144__crown__7883a3fb__c0,sku-2.0-props-matrix-untriggered-0728,normal
exact-r2__e7559760a0cf2b04b9b127f73bc5ed4e714ab9d4__吐司菇__v1450__eyemask__3722b5d8__c0.mp4,normal,,exact-r2,e7559760a0cf2b04b9b127f73bc5ed4e714ab9d4,exact,e7559760a0cf2b04b9b127f73bc5ed4e714ab9d4__吐司菇__v1450__eyemask__3722b5d8__c0,sku-2.0-props-matrix-untriggered-0728,good
exact-r2__46ad1d7fc06fae0ddf3af206d3ae023bd4b24aae__爆炸菇（爆炸后）__v449__glasses__697a2609__c0.mp4,bad,还原度,exact-r2,46ad1d7fc06fae0ddf3af206d3ae023bd4b24aae,exact,46ad1d7fc06fae0ddf3af206d3ae023bd4b24aae__爆炸菇（爆炸后）__v449__glasses__697a2609__c0,sku-2.0-props-matrix-untriggered-0728,bad
generic__58a25304d5897daa19607fb3b5ce8c1f9d1c340f__爆炸菇（爆炸前）__v335__bubble__54c5e930__c0.mp4,bad,不属于以上,generic,58a25304d5897daa19607fb3b5ce8c1f9d1c340f,source_only,58a25304d5897daa19607fb3b5ce8c1f9d1c340f__TUPV6007__v335__glasses__b3e01965__c0,sku-1.0-daily-props-matrix-untriggered-0731,bad
exact-r1__c219d3893a297a9d030244d12b8ed8581b487bce__爆炸菇（爆炸前）__v1212__coffee__40865391__c0.mp4,bad,衣服/身体的时间一致性;还原度,exact-r1,c219d3893a297a9d030244d12b8ed8581b487bce,exact,c219d3893a297a9d030244d12b8ed8581b487bce__爆炸菇（爆炸前）__v1212__coffee__40865391__c0,sku-2.0-props-matrix-untriggered-0728,bad
exact-r1__b4eae72bed7b19f3df518a28e1218285d7456c4f__炸虾菇__v1118__bubble__a0e2054a__c0.mp4,normal,,exact-r1,b4eae72bed7b19f3df518a28e1218285d7456c4f,exact,b4eae72bed7b19f3df518a28e1218285d7456c4f__炸虾菇__v1118__bubble__a0e2054a__c0,sku-2.0-props-matrix-untriggered-0728,normal
exact-r2__78ef7e5e758387759b0edeb5d288c14dd38efee1__毒蘑菇__v754__flag__3596f3a9__c0.mp4,normal,,exact-r2,78ef7e5e758387759b0edeb5d288c14dd38efee1,exact,78ef7e5e758387759b0edeb5d288c14dd38efee1__毒蘑菇__v754__flag__3596f3a9__c0,sku-2.0-props-matrix-untriggered-0728,good
exact-r1__edbff851b63c30a3fa7e8f354e07a85f34577d30__汉堡菇__v1495__bubble__83e145c8__c0.mp4,bad,不合理的物体;不属于以上,exact-r1,edbff851b63c30a3fa7e8f354e07a85f34577d30,exact,edbff851b63c30a3fa7e8f354e07a85f34577d30__汉堡菇__v1495__bubble__83e145c8__c0,sku-2.0-props-matrix-untriggered-0728,bad
base-noprop__0eaa401fc0b89ae5782586ac9dd79898a8983222__爆炸菇（爆炸前）__v0__5703d2db__c0.mp4,good,,base-noprop,0eaa401fc0b89ae5782586ac9dd79898a8983222,none,,,
base-props__7327bccf5c0ab9eaa9686f4bb89d430405eb16a3__炸虾菇__v446__bubble__82feee5f__c0.mp4,bad,还原度;不属于以上,base-props,7327bccf5c0ab9eaa9686f4bb89d430405eb16a3,none,,,
exact-r1__90670fc8fcb427723ab341cff42c86190936e160__粽子菇__v898__crown__be383a78__c0.mp4,bad,还原度,exact-r1,90670fc8fcb427723ab341cff42c86190936e160,exact,90670fc8fcb427723ab341cff42c86190936e160__粽子菇__v898__crown__be383a78__c0,sku-2.0-props-matrix-untriggered-0728,bad
